Description,Normal Price,Discount Price,URL
"3pz Banda Para El Cabello Diadema Gym Shark Unisex","286","271.70","https://articulo.mercadolibre.com.mx/MLM-3352851440-3pz-banda-para-el-cabello-diadema-gym-shark-unisex-_JM?searchVariation=184741893203#polycard_client=search-nordic&amp;searchVariation=184741893203&amp;position=35&amp;search_layout=grid&amp;type=item&amp;tracking_id=3a6e5d5b-6403-4bcb-8473-880dcb7cc904"
"Banda Para El Cabello Y Sudor Kobe Amarilla","185","185","https://articulo.mercadolibre.com.mx/MLM-3150809788-banda-para-el-cabello-y-sudor-kobe-amarilla-_JM?searchVariation=183218812953#polycard_client=search-nordic&amp;searchVariation=183218812953&amp;position=36&amp;search_layout=grid&amp;type=item&amp;tracking_id=3a6e5d5b-6403-4bcb-8473-880dcb7cc904"
"Diadema Sport Ballerina Banda De Cabello Algodon 14 Piezas","115.69","115.69","https://articulo.mercadolibre.com.mx/MLM-3395805396-diadema-sport-ballerina-banda-de-cabello-algodon-14-piezas-_JM?searchVariation=185261385797#polycard_client=search-nordic&amp;searchVariation=185261385797&amp;position=37&amp;search_layout=grid&amp;type=item&amp;tracking_id=3a6e5d5b-6403-4bcb-8473-880dcb7cc904"
"6 Bandas Deportivas Para Cabello Antisudor Y Secado Rápido F","115","103.50","https://articulo.mercadolibre.com.mx/MLM-3018825392-6-bandas-deportivas-para-cabello-antisudor-y-secado-rapido-f-_JM?searchVariation=182512886963#polycard_client=search-nordic&amp;searchVariation=182512886963&amp;position=38&amp;search_layout=grid&amp;type=item&amp;tracking_id=3a6e5d5b-6403-4bcb-8473-880dcb7cc904"
"Banda Deportiva Diadema Cabello Fitness Elástica Cinta Sudor","169","135.20","https://articulo.mercadolibre.com.mx/MLM-3089066460-banda-deportiva-diadema-cabello-fitness-elastica-cinta-sudor-_JM?searchVariation=182875564519#polycard_client=search-nordic&amp;searchVariation=182875564519&amp;position=39&amp;search_layout=grid&amp;type=item&amp;tracking_id=3a6e5d5b-6403-4bcb-8473-880dcb7cc904"
"Banda Para Cabello Y Sudor Kobe Morada Unisex Unitalla","185","185","https://articulo.mercadolibre.com.mx/MLM-3150913804-banda-para-cabello-y-sudor-kobe-morada-unisex-unitalla-_JM?searchVariation=183219037931#polycard_client=search-nordic&amp;searchVariation=183219037931&amp;position=40&amp;search_layout=grid&amp;type=item&amp;tracking_id=3a6e5d5b-6403-4bcb-8473-880dcb7cc904"
"Bandas Para Cabeza Cabello Nike Mixed 3 Piezas Unisex","459","376.38","https://articulo.mercadolibre.com.mx/MLM-1776135192-bandas-para-cabeza-cabello-nike-mixed-3-piezas-unisex-_JM?searchVariation=176486896016#polycard_client=search-nordic&amp;searchVariation=176486896016&amp;position=41&amp;search_layout=grid&amp;type=item&amp;tracking_id=3a6e5d5b-6403-4bcb-8473-880dcb7cc904"
"6 Pz Bandas Elásticas Deportivas Delgadas Para El Cabello","89","81.88","https://articulo.mercadolibre.com.mx/MLM-2130914281-6-pz-bandas-elasticas-deportivas-delgadas-para-el-cabello-_JM?searchVariation=184568497065#polycard_client=search-nordic&amp;searchVariation=184568497065&amp;position=42&amp;search_layout=grid&amp;type=item&amp;tracking_id=3a6e5d5b-6403-4bcb-8473-880dcb7cc904"
"Bandas Deportivas  Cabeza Diadema Cabello Absorbe El Sudor","298","157.94","https://articulo.mercadolibre.com.mx/MLM-2137243134-bandas-deportivas-cabeza-diadema-cabello-absorbe-el-sudor-_JM?searchVariation=178009906343#polycard_client=search-nordic&amp;searchVariation=178009906343&amp;position=43&amp;search_layout=grid&amp;type=item&amp;tracking_id=3a6e5d5b-6403-4bcb-8473-880dcb7cc904"
"3pza Banda Para El Cabello Vincha Diadema Gym Shark Unisex","298","298","https://articulo.mercadolibre.com.mx/MLM-2025642901-3pza-banda-para-el-cabello-vincha-diadema-gym-shark-unisex-_JM?searchVariation=181859648389#polycard_client=search-nordic&amp;searchVariation=181859648389&amp;position=44&amp;search_layout=grid&amp;type=item&amp;tracking_id=3a6e5d5b-6403-4bcb-8473-880dcb7cc904"
